	param_00	param_01	param_02	param_03	param_04	param_05	param_06	param_07	param_08	param_09	param_10	param_11	param_12	param_13	param_14	param_15	param_16	param_17	param_18	param_19
001297.txt	400	3.5600000000000005	300.03000000000003	400	400	300.14	4.700000000000001	1.83	300.03999999999996	3.22	28.33	400	11.379999999999999	400	400	18.97	6.300000000000001	300.03	300.02	300.02
001298.txt	400	8.57	300.03	400	300.02	300.32000000000005	1.57	110.73	300.03	47.46	36.98	400	8.84	300.02	72.1	5.8	1.18	300.02000000000004	300.03	0.31000000000000005
001299.txt	400	6.19	300.05	400	300.03	300.25	1.2000000000000002	1.36	300.03000000000003	300.04999999999995	31.06	400	16.76	300.04	300.01	7.950000000000001	3.45	300.02000000000004	300.03999999999996	300.02000000000004
001300.txt	57.55	0.25	300.02	400	400	300.59000000000003	0.8399999999999999	0.6900000000000002	0.10000000000000009	4.26	16.14	7.65	8.6	3.3499999999999996	30.35	9.559999999999999	4.09	300.03000000000003	300.02000000000004	0.22999999999999998
001301.txt	400	4.86	300.04	400	300.01	300.19	2.6100000000000003	7.870000000000001	300.03	6.65	28.97	400	12.1	300.03000000000003	400	171.9	3.37	300.02	300.02	300.03
001302.txt	400	90.44	300.03000000000003	400	300.02	300.01	4.09	1.53	300.02	65.48	27.29	400	17.65	300.02000000000004	400	400	8.790000000000001	300.02	300.02	300.02
001303.txt	400	3.2600000000000002	300.02	400	300.02	300.02000000000004	41.72	1.2900000000000003	300.03000000000003	94.61	25.65	400	400	300.03	300.01	7.14	1.02	300.02	300.01000000000005	0.3699999999999999
001304.txt	300.02	0.7799999999999998	300.03000000000003	400	300.05	300.09999999999997	1.74	1.4000000000000001	300.04	5.7299999999999995	37.33	400	400	300.03000000000003	300.01000000000005	400	4.01	300.02	400	300.02
001305.txt	400	2.02	300.01	400	300.02	300.01	2.1900000000000004	1.03	300.03999999999996	3.8600000000000003	21.64	400	400	400	41.959999999999994	0.17999999999999994	3.4299999999999997	300.02	300.01000000000005	300.02000000000004
001306.txt	400	3.1799999999999997	300.03000000000003	400	400	300.11	1.6	1.56	300.02	3.91	33.23	400	400	400	400	141.28	5.25	300.02000000000004	300.01	300.02
001307.txt	400	2.96	300.03	400	300.02	300.01	1.83	1.18	300.03	3.4299999999999997	22.810000000000002	400	12.76	2.6500000000000004	400	136.54000000000002	6.63	300.02000000000004	300.02	228.87
001308.txt	400	60.19	300.03000000000003	400	300.01000000000005	300.06	0.74	1.1	300.03999999999996	3.2900000000000005	20.08	400	400	400	400	0.21999999999999997	3.39	300.05	300.02	0.2999999999999998
001309.txt	400	2.9000000000000004	300.03	400	300.02	300.17	1.8	1.62	300.03000000000003	5.74	24.35	10.99	9.96	300.03999999999996	47.949999999999996	26.240000000000002	3.0399999999999996	300.02	300.17	82.13
001310.txt	400	12.620000000000001	300.03999999999996	400	300.02	300.06	26.28	1.27	300.02	300.07	25.16	400	400	400	400	182.92	5.12	300.01	300.02000000000004	300.02000000000004
001311.txt	400	3.16	300.03999999999996	400	300.02	300.03	36.51	1.39	300.03000000000003	300.02	35.68	400	11.41	3.46	400	15.920000000000002	7.94	300.03000000000003	300.03000000000003	300.02
001312.txt	400	1.9899999999999998	300.02	400	300.03	300.01	1.8599999999999999	0.8799999999999999	24.9	2.71	19.28	6.830000000000001	9.81	3.0200000000000005	31.730000000000004	6.24	2.73	300.02	300.03	0.5900000000000001
