	CPU_Param_1	CPU_Param_2	CPU_Param_3	CPU_Param_4	CPU_Param_5	CPU_Param_6	CPU_Param_7	CPU_Param_8	CPU_Param_9	CPU_Param_10	CPU_Param_11	CPU_Param_12	CPU_Param_13	CPU_Param_14	CPU_Param_15	CPU_Param_16	CPU_Param_17	CPU_Param_18	CPU_Param_119	CPU_Param_20
SWGCP_only_5000/SWlin2006.16234.cnf	0.26	0.38	0.1	0.1	0.36	0.38	0.12	0.34	0.48	0.44	0.12	0.44	0.06	0.56	0.1	0.42	0.32	0.12	0.9	1.52
SWGCP_only_5000/SWlin2006.16235.cnf	0.28	0.5	0.12	0.12	0.38	0.36	0.14	0.4	0.2	0.14	0.14	0.4	0.7	0.56	0.1	0.46	0.28	0.1	0.92	1.78
SWGCP_only_5000/SWlin2006.16236.cnf	0.24	0.36	0.1	0.12	0.34	0.34	0.12	0.34	0.28	0.38	0.12	0.4	0.58	0.36	0.08	0.54	0.26	0.12	0.66	1.46
SWGCP_only_5000/SWlin2006.16237.cnf	0.22	0.34	0.08	0.1	0.26	0.28	0.12	0.18	0.52	0.34	0.12	0.64	0.5	0.54	0.08	0.48	0.28	0.12	1.02	1.42
SWGCP_only_5000/SWlin2006.16238.cnf	0.26	0.58	0.1	0.1	0.44	0.34	0.12	0.42	0.48	0.44	0.14	0.46	0.98	0.4	0.12	0.48	0.28	0.12	1.0	1.78
SWGCP_only_5000/SWlin2006.16239.cnf	0.2	0.36	0.1	0.1	0.36	0.32	0.1	0.3	0.38	0.38	0.12	0.52	0.42	0.34	0.1	0.38	0.24	0.08	0.64	1.46
SWGCP_only_5000/SWlin2006.16240.cnf	0.2	0.48	0.06	0.08	0.28	0.26	0.08	0.22	0.38	0.2	0.08	0.42	0.1	0.04	0.06	0.36	0.18	0.1	0.66	0.88
SWGCP_only_5000/SWlin2006.16241.cnf	0.26	0.08	0.1	0.1	0.44	0.42	0.12	0.22	0.58	0.48	0.12	0.76	1.0	0.52	0.1	0.42	0.3	0.12	0.62	1.74
SWGCP_only_5000/SWlin2006.16242.cnf	0.2	0.5	0.06	0.06	0.26	0.2	0.06	0.2	0.32	0.24	0.08	0.4	0.54	0.36	0.06	0.34	0.16	0.08	0.54	0.76
SWGCP_only_5000/SWlin2006.16243.cnf	0.16	0.06	0.08	0.06	0.3	0.26	0.12	0.22	0.0	0.28	0.06	0.12	0.6	0.04	0.08	0.3	0.16	0.08	0.2	0.9
SWGCP_only_5000/SWlin2006.16244.cnf	0.22	0.38	0.1	0.1	0.36	0.4	0.12	0.36	0.1	0.18	0.12	0.54	0.74	0.46	0.12	0.48	0.3	0.1	0.76	1.52
SWGCP_only_5000/SWlin2006.16245.cnf	0.24	0.48	0.1	0.12	0.42	0.38	0.12	0.36	0.48	0.44	0.1	0.5	0.44	0.5	0.12	0.5	0.28	0.12	0.14	1.64
SWGCP_only_5000/SWlin2006.16246.cnf	0.16	0.42	0.06	0.08	0.26	0.22	0.08	0.22	0.32	0.18	0.06	0.4	0.54	0.38	0.06	0.28	0.18	0.08	0.56	0.8
SWGCP_only_5000/SWlin2006.16247.cnf	0.28	0.5	0.12	0.12	0.4	0.38	0.12	0.42	0.36	0.46	0.14	0.56	0.72	0.44	0.12	0.5	0.36	0.14	0.76	1.96
SWGCP_only_5000/SWlin2006.16248.cnf	0.12	0.34	0.04	0.06	0.18	0.18	0.08	0.18	0.24	0.2	0.08	0.28	0.4	0.28	0.06	0.22	0.12	0.08	0.38	0.5
SWGCP_only_5000/SWlin2006.16249.cnf	0.3	0.42	0.1	0.1	0.4	0.4	0.12	0.38	0.24	0.42	0.14	0.72	0.14	0.68	0.1	0.54	0.26	0.12	1.04	1.92
SWGCP_only_5000/SWlin2006.16250.cnf	0.1	0.56	0.08	0.06	0.3	0.1	0.1	0.26	0.04	0.3	0.1	0.02	0.06	0.48	0.08	0.42	0.2	0.08	0.62	1.02
SWGCP_only_5000/SWlin2006.16251.cnf	0.28	0.48	0.12	0.1	0.44	0.46	0.12	0.36	0.44	0.48	0.12	0.7	0.74	0.68	0.12	0.6	0.22	0.12	0.76	1.78
SWGCP_only_5000/SWlin2006.16252.cnf	0.14	0.12	0.1	0.1	0.46	0.44	0.12	0.4	0.62	0.48	0.12	0.72	1.0	0.34	0.12	0.56	0.28	0.12	0.84	1.76
SWGCP_only_5000/SWlin2006.16253.cnf	0.02	0.02	0.06	0.06	0.2	0.0	0.06	0.2	0.02	0.22	0.06	0.3	0.32	0.28	0.06	0.28	0.16	0.08	0.08	0.62
SWGCP_only_5000/SWlin2006.16254.cnf	0.22	0.18	0.08	0.1	0.34	0.4	0.1	0.32	0.42	0.4	0.1	0.54	0.88	0.08	0.08	0.48	0.3	0.1	0.56	1.42
SWGCP_only_5000/SWlin2006.16255.cnf	0.14	0.18	0.08	0.1	0.24	0.2	0.06	0.2	0.3	0.24	0.08	0.34	0.02	0.34	0.06	0.3	0.16	0.08	0.54	0.74
SWGCP_only_5000/SWlin2006.16256.cnf	0.14	0.22	0.06	0.06	0.22	0.18	0.08	0.2	0.2	0.24	0.06	0.32	0.26	0.22	0.06	0.28	0.16	0.08	0.34	0.68
SWGCP_only_5000/SWlin2006.16257.cnf	0.18	0.5	0.08	0.08	0.1	0.2	0.1	0.28	0.38	0.34	0.08	0.42	0.52	0.04	0.08	0.34	0.08	0.08	0.64	1.0
SWGCP_only_5000/SWlin2006.16258.cnf	0.2	0.2	0.08	0.06	0.04	0.26	0.08	0.24	0.06	0.32	0.1	0.46	0.06	0.04	0.08	0.4	0.06	0.08	0.18	0.98
SWGCP_only_5000/SWlin2006.16259.cnf	0.22	0.52	0.08	0.08	0.3	0.28	0.1	0.3	0.3	0.36	0.1	0.44	0.52	0.42	0.08	0.48	0.2	0.08	0.64	1.12
SWGCP_only_5000/SWlin2006.16260.cnf	0.06	0.06	0.06	0.06	0.3	0.26	0.1	0.22	0.32	0.14	0.1	0.42	0.08	0.36	0.06	0.32	0.06	0.1	0.62	0.88
SWGCP_only_5000/SWlin2006.16261.cnf	0.24	0.7	0.1	0.1	0.38	0.3	0.1	0.38	0.3	0.4	0.1	0.52	0.84	0.36	0.12	0.4	0.3	0.14	0.84	1.64
SWGCP_only_5000/SWlin2006.16262.cnf	0.2	0.16	0.08	0.06	0.38	0.2	0.1	0.28	0.42	0.38	0.1	0.12	0.8	0.44	0.1	0.46	0.26	0.12	0.88	1.26
SWGCP_only_5000/SWlin2006.16263.cnf	0.24	0.62	0.08	0.08	0.36	0.32	0.1	0.26	0.44	0.32	0.12	0.5	0.62	0.34	0.1	0.42	0.26	0.1	0.64	1.2
SWGCP_only_5000/SWlin2006.16264.cnf	0.2	0.1	0.08	0.08	0.36	0.3	0.1	0.34	0.44	0.36	0.12	0.52	0.36	0.28	0.1	0.42	0.28	0.1	0.74	1.38
SWGCP_only_5000/SWlin2006.16265.cnf	0.06	0.08	0.08	0.1	0.02	0.02	0.1	0.28	0.04	0.08	0.08	0.02	0.28	0.34	0.06	0.32	0.12	0.1	0.74	1.0
SWGCP_only_5000/SWlin2006.16266.cnf	0.26	0.2	0.12	0.1	0.36	0.42	0.12	0.36	0.22	0.36	0.1	0.68	0.78	0.66	0.1	0.48	0.28	0.12	0.88	1.66
SWGCP_only_5000/SWlin2006.16267.cnf	0.0	0.0	0.04	0.06	0.16	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.02	0.02	0.02	0.0	0.02	0.06	0.3	0.46
SWGCP_only_5000/SWlin2006.16268.cnf	0.22	0.08	0.08	0.08	0.12	0.3	0.1	0.32	0.4	0.12	0.1	0.44	0.84	0.56	0.06	0.44	0.28	0.08	0.7	1.32
SWGCP_only_5000/SWlin2006.16269.cnf	0.3	0.28	0.1	0.12	0.42	0.36	0.12	0.2	0.16	0.5	0.12	0.6	0.76	0.44	0.12	0.5	0.3	0.12	0.86	1.9
SWGCP_only_5000/SWlin2006.16270.cnf	0.16	0.34	0.06	0.08	0.3	0.26	0.08	0.24	0.32	0.28	0.1	0.42	0.7	0.34	0.08	0.28	0.18	0.08	0.48	0.9
SWGCP_only_5000/SWlin2006.16271.cnf	0.14	0.16	0.06	0.06	0.2	0.24	0.08	0.12	0.06	0.02	0.08	0.44	0.02	0.04	0.08	0.04	0.06	0.1	0.54	0.96
SWGCP_only_5000/SWlin2006.16272.cnf	0.22	0.56	0.08	0.08	0.38	0.34	0.12	0.32	0.4	0.22	0.12	0.46	0.44	0.58	0.08	0.46	0.12	0.1	0.82	1.36
SWGCP_only_5000/SWlin2006.16273.cnf	0.2	0.76	0.06	0.1	0.4	0.4	0.12	0.34	0.56	0.38	0.12	0.58	0.54	0.5	0.1	0.44	0.28	0.12	0.86	1.56
SWGCP_only_5000/SWlin2006.16274.cnf	0.12	0.24	0.04	0.08	0.18	0.18	0.08	0.14	0.18	0.18	0.06	0.26	0.28	0.22	0.06	0.22	0.14	0.06	0.34	0.54
